region,latitude,longitude,prod_totale,thermique_mw,nucleaire_mw,bioenergies_mw,eolien_mw,solaire_mw,hydraulique_mw,lo2,la2,lo3,la3,lo4,la4,lo5,la5,lo6,la6,lo7,la7
Auvergne-Rhône-Alpes,45.0745,3.764,1633514580.0,26655982.0,1176740986.0,12482326.0,12879498.0,11774133.0,392981655.0,3.6839999999999997,45.1545,3.844,44.9945,3.764,44.9345,3.6239999999999997,45.0745,3.904,45.0745,3.764,45.2145
Bourgogne-Franche-Comté,47.267833,5.088333,40604279.0,10181812.0,0.0,2746576.0,12614577.0,3342877.0,11718437.0,5.008333,47.347833,5.1683330000000005,47.187833000000005,5.088333,47.127833,4.948333000000001,47.267833,5.228333,47.267833,5.088333,47.407833000000004
Bretagne,48.068833,-3.473167,45891108.0,8195211.0,0.0,4472029.0,22437744.0,2791111.0,7995013.0,-3.553167,48.148832999999996,-3.393167,47.988833,-3.473167,47.928833,-3.6131670000000002,48.068833,-3.333167,48.068833,-3.473167,48.208833
Centre-Val de Loire,47.059167,0.727333,1086603260.0,4673554.0,1043885773.0,6106351.0,26769955.0,3525325.0,1642302.0,0.647333,47.139167,0.807333,46.979167000000004,0.727333,46.919167,0.587333,47.059167,0.867333,47.059167,0.727333,47.199167
Grand Est,48.4370835,5.057582999999999,1475894716.0,133242059.0,1130923740.0,10307327.0,74665064.0,8621108.0,118135418.0,4.977582999999999,48.5170835,5.137582999999999,48.3570835,5.057582999999999,48.2970835,4.917583,48.4370835,5.197582999999999,48.4370835,5.057582999999999,48.5770835
Hauts-de-France,50.136,1.834,672489682.0,107286133.0,472916217.0,12802099.0,77443308.0,1871086.0,170839.0,1.754,50.216,1.9140000000000001,50.056000000000004,1.834,49.996,1.694,50.136,1.9740000000000002,50.136,1.834,50.276
Normandie,49.18,-0.456167,942747053.0,57834525.0,857076681.0,6138059.0,18076595.0,1813323.0,1807870.0,-0.536167,49.26,-0.376167,49.1,-0.456167,49.04,-0.596167,49.18,-0.316167,49.18,-0.456167,49.32
Nouvelle-Aquitaine,44.830667,-0.500167,739843236.0,12227337.0,610259943.0,19671005.0,16532532.0,29801400.0,51351019.0,-0.580167,44.910667,-0.420167,44.750667,-0.500167,44.690667,-0.640167,44.830667,-0.360167,44.830667,-0.500167,44.970667
Occitanie,43.188,1.378833,489245000.0,3978025.0,248524170.0,10028868.0,38810803.0,25234267.0,162668867.0,1.298833,43.268,1.458833,43.108000000000004,1.378833,43.048,1.238833,43.188,1.5188329999999999,43.188,1.378833,43.328
Pays de la Loire,47.15,-1.608833,95872885.0,65244296.0,0.0,5059792.0,18982439.0,6350942.0,235416.0,-1.688833,47.23,-1.5288329999999999,47.07,-1.608833,47.01,-1.7488329999999999,47.15,-1.468833,47.15,-1.608833,47.29
Provence-Alpes-Côte d'Azur,43.437667,5.940833,263184772.0,93452632.0,0.0,11287115.0,1505466.0,18913734.0,138025825.0,5.8608329999999995,43.517666999999996,6.020833,43.357667,5.940833,43.297667,5.800833,43.437667,6.080832999999999,43.437667,5.940833,43.577667
Île-de-France,48.716833,2.384333,53002535.0,33365513.0,0.0,16692500.0,1167646.0,1060456.0,716420.0,2.3043329999999997,48.796833,2.464333,48.636833,2.384333,48.576833,2.2443329999999997,48.716833,2.524333,48.716833,2.384333,48.856833
