region,latitude,longitude,prod_totale,thermique_mw,nucleaire_mw,bioenergies_mw,eolien_mw,solaire_mw,hydraulique_mw,pompage_mw,taille_point,thermique_mw_tp,nucleaire_mw_tp,bioenergies_mw_tp,eolien_mw_tp,solaire_mw_tp,hydraulique_mw_tp,geometry
Auvergne-Rhône-Alpes,45.0745,3.764,1633514580.0,26655982.0,1176740986.0,12482326.0,12879498.0,11774133.0,392981655.0,-54804637.0,4333.566100572325,70.71590384743678,3121.787162795726,33.11447933932279,34.168140651177445,31.235707508916096,1042.5447064297452,POINT (3.764 45.0745)
Bourgogne-Franche-Comté,47.267833,5.088333,40604279.0,10181812.0,0.0,2746576.0,12614577.0,3342877.0,11718437.0,-277074.0,107.71947135762983,27.01142424183352,0.0,7.2864171474034425,33.465329253601965,8.868349644961791,31.087951069829106,POINT (5.088333 47.267833)
Bretagne,48.068833,-3.473167,45891108.0,8195211.0,0.0,4472029.0,22437744.0,2791111.0,7995013.0,-770414.0,121.74494943687824,21.74115187673282,0.0,11.86388754190143,59.525300822059435,7.40456446524923,21.210044730935333,POINT (-3.473167 48.068833)
Centre-Val de Loire,47.059167,0.727333,1086603260.0,4673554.0,1043885773.0,6106351.0,26769955.0,3525325.0,1642302.0,0.0,2882.659946816866,12.398515098404683,2769.334326200221,16.19959565454011,71.01826388463984,9.35236764981928,4.35687832924156,POINT (0.727333 47.059167)
Grand Est,48.4370835,5.057582999999999,1475894716.0,133242059.0,1130923740.0,10307327.0,74665064.0,8621108.0,118135418.0,-14847574.0,3915.414889820829,353.47910396542505,3000.238162549164,27.34440415873964,198.07964630928672,22.871018009629807,313.40255482858413,POINT (5.057582999999999 48.4370835)
Hauts-de-France,50.136,1.834,672489682.0,107286133.0,472916217.0,12802099.0,77443308.0,1871086.0,170839.0,0.0,1784.0541643037325,284.6203852250243,1254.6038532463574,33.96280812049492,205.4500757899458,4.963821541681905,0.4532203802280573,POINT (1.834 50.136)
Normandie,49.18,-0.456167,942747053.0,57834525.0,857076681.0,6138059.0,18076595.0,1813323.0,1807870.0,0.0,2501.022470393414,153.4297520519851,2273.7467396052507,16.28371410416971,47.955567868745426,4.810581538971086,4.79611522429245,POINT (-0.456167 49.18)
Nouvelle-Aquitaine,44.830667,-0.500167,739843236.0,12227337.0,610259943.0,19671005.0,16532532.0,29801400.0,51351019.0,0.0,1962.7370373806705,32.43801663739892,1618.9643079414689,52.185393063457504,43.859308701013966,79.06041266530725,136.22959837202393,POINT (-0.500167 44.830667)
Occitanie,43.188,1.378833,489245000.0,3978025.0,248524170.0,10028868.0,38810803.0,25234267.0,162668867.0,-28449257.0,1297.9226343204766,10.55333971199034,659.3120939789062,26.605677674401026,102.96154211050303,66.944222832704,431.545758011972,POINT (1.378833 43.188)
Pays de la Loire,47.15,-1.608833,95872885.0,65244296.0,0.0,5059792.0,18982439.0,6350942.0,235416.0,0.0,254.34207290642541,173.0872028098497,0.0,13.423169499440306,50.35868988483838,16.848473405055863,0.6245373072411354,POINT (-1.608833 47.15)
Provence-Alpes-Côte d'Azur,43.437667,5.940833,263184772.0,93452632.0,0.0,11287115.0,1505466.0,18913734.0,138025825.0,-449620.0,698.2053420827478,247.92136109642826,0.0,29.94369290371525,3.9938648255984432,50.17642174803374,366.1700015089722,POINT (5.940833 43.437667)
Île-de-France,48.716833,2.384333,53002535.0,33365513.0,0.0,16692500.0,1167646.0,1060456.0,716420.0,0.0,140.6109206080047,88.51568136294516,0.0,44.28368930371196,3.0976589894097373,2.813293636319135,1.9005973156187101,POINT (2.384333 48.716833)
